team,ol,rb,wr,qb,te,year
crd,4,1.4,4.43,10,2.4,2013
atl,5.2,7,10.815,18,8,2013
rav,6.6,10.3,6.81,13,5.6,2013
buf,4.8,10.3,5.28,0,4.6,2013
car,7,5.1,7.52,16,5.6,2013
chi,5,8.9,7.18,11,5.8,2013
cin,7.2,6.5,7.185,12,5.8,2013
cle,7.4,6.7,5.715,7,1.8,2013
dal,5.2,4.5,7.38,14,6.6,2013
den,10,4.4,12.62,15,4.6,2013
det,5.8,7.4,7.515,13,4,2013
gnb,7.6,2,8.52,16,4.8,2013
htx,8.4,7.6,5.56,11,5.2,2013
clt,6.4,9.5,8.285,13,4,2013
jax,5.2,3,4.67,4,3.6,2013
kan,3,6.3,4.81,7,2.4,2013
rai,3.8,4.7,3.525,1,0,2013
sdg,5,7,3.33,10,3.2,2013
ram,5,2.8,3.81,10,3.2,2013
mia,8,2.7,6.81,10,1.8,2013
min,7.4,14.2,3.38,13,4.8,2013
nwe,10.4,8.9,3.24,19,7.6,2013
nor,8.6,6.7,6.67,15,7,2013
nyg,8.8,4,8.095,16,4.8,2013
nyj,4.2,4.4,4.235,0,2.6,2013
phi,2.2,5.8,4.095,7,4.6,2013
pit,6,5,4.525,10,4.8,2013
sfo,10.4,7.9,7.955,9,4,2013
sea,8,12,8.715,16,3.6,2013
tam,7.4,10.1,9.095,13,1.8,2013
oti,5.6,8.1,5,11,2.8,2013
was,10.4,9.7,6.38,18,3,2013
crd,4.8,5.8,7.095,11,3.2,2014
atl,6.6,5,6.855,13,0.8,2014
rav,5.2,2.4,6.525,8,1,2014
buf,7.2,7.7,3.14,5,4.2,2014
car,6.4,8.5,3.24,16,6.8,2014
chi,9.4,10.8,10.195,9,5.6,2014
cin,7.2,6.3,7.135,14,4,2014
cle,7.8,2.8,5.04,1,4.4,2014
dal,9.4,9,8.045,13,6.6,2014
den,5.6,4.4,9.66,19,6.8,2014
det,7.4,9.4,7.86,13,2.8,2014
gnb,6.8,8.2,7.33,9,2.6,2014
htx,6.4,2.7,5.285,9,2.6,2014
clt,6.6,4.8,7.235,15,5.4,2014
jax,4.4,2.7,3.76,6,2,2014
kan,6.4,12.1,5.43,14,1.6,2014
rai,4.8,4.7,6.43,4,2.4,2014
sdg,7.6,10.4,6.95,16,7.2,2014
ram,6.2,5.5,5.095,0,5.2,2014
mia,6.4,10.6,5.86,11,4.8,2014
min,7,8.9,6.86,6,2.6,2014
nwe,6.8,5.7,7.475,13,5,2014
nor,8.2,7.2,6.285,17,9.2,2014
nyg,6.2,5.1,4.19,7,0,2014
nyj,5.2,7.8,6.755,7,2.4,2014
phi,9.8,12.6,3.28,11,4,2014
pit,6.6,7.1,7.515,13,4,2014
sfo,8,7.2,7.09,15,7.4,2014
sea,6,10,4.665,17,3.8,2014
tam,7.2,3.7,4.755,8,2.4,2014
oti,7.2,1.7,8.095,5,4,2014
was,6.8,5.8,8.335,9,2.8,2014
crd,6.8,5,5.715,5,3.2,2015
atl,6.2,3.1,8.285,15,1.8,2015
rav,9.8,9.3,5.66,13,0.8,2015
buf,6.2,6.8,5.57,2,4,2015
car,4.6,4.5,3.81,12,6.6,2015
chi,6.2,10,5.715,11,5.8,2015
cin,7.6,9.1,6.67,11,0.8,2015
cle,6.6,3.7,5.855,5,1,2015
dal,10.8,4,8.47,14,5.8,2015
den,5,8.5,10.77,16,4.4,2015
det,5,6.5,7.765,13,2.8,2015
gnb,10.2,12.7,8.895,22,3.8,2015
htx,7.6,8.2,5.995,7,1.8,2015
clt,6.4,6.4,8.38,16,6.2,2015
jax,5.4,3.7,3.715,5,4.4,2015
kan,5.4,10.2,4.995,14,7.2,2015
rai,5.2,3.7,4.43,5,3.2,2015
sdg,8,5.1,5.525,13,6,2015
ram,3.2,5.4,5.095,5,4.4,2015
mia,6.4,8.9,7.095,14,3,2015
min,3,5.4,5.855,9,2,2015
nwe,6.2,5.1,9.48,16,11.2,2015
nor,7.8,6.8,5,16,1.8,2015
nyg,5.4,7.4,8,13,4.4,2015
nyj,7.4,4.4,5.81,8,1.6,2015
phi,6.6,14.4,4.475,6,4.4,2015
