team,ol,rb,wr,qb,te,year
crd,4.4,6.699999999999999,4.715,0.0,1.0,2019
atl,7.799999999999999,2.3999999999999995,9.66,16.0,5.000000000000001,2019
rav,8.0,6.1,4.19,8.0,4.4,2019
buf,5.3999999999999995,5.0,5.715000000000001,6.0,0.0,2019
car,6.3999999999999995,11.2,6.14,14.0,3.0000000000000004,2019
chi,5.4,7.0,6.430000000000001,13.0,4.0,2019
cin,6.6,8.6,5.04,9.0,3.6,2019
cle,7.0,9.5,7.239999999999999,10.0,4.4,2019
dal,7.2,10.5,3.095,14.0,2.6000000000000005,2019
den,4.999999999999999,5.799999999999999,4.905,7.0,1.6,2019
det,6.6,4.1,5.52,10.0,2.6000000000000005,2019
gnb,7.8,5.3999999999999995,5.71,13.0,4.2,2019
htx,6.4,3.0999999999999996,7.42,16.0,2.0,2019
clt,7.800000000000001,6.699999999999999,7.66,0.0,6.000000000000001,2019
jax,3.0000000000000004,2.0999999999999996,4.475,4.0,1.8,2019
kan,10.200000000000001,4.0,9.705,22.0,11.200000000000001,2019
rai,6.0,4.499999999999999,4.8100000000000005,11.0,1.0,2019
sdg,9.0,10.1,7.425000000000001,14.0,1.8,2019
ram,5.200000000000001,11.799999999999999,11.385000000000002,18.0,3.0000000000000004,2019
mia,3.9999999999999996,5.499999999999999,3.3800000000000003,7.0,1.8,2019
min,5.6,4.199999999999999,7.999999999999999,12.0,4.2,2019
nwe,5.4,9.1,8.809999999999999,14.0,3.6,2019
nor,10.200000000000001,12.0,8.61,16.0,6.000000000000001,2019
nyg,7.0,10.399999999999999,3.9,12.0,4.2,2019
nyj,6.2,2.9999999999999996,4.475,7.0,3.8000000000000003,2019
phi,8.8,5.799999999999999,6.000000000000001,9.0,7.6000000000000005,2019
pit,8.8,7.9,6.09,14.0,4.6,2019
sfo,6.8,7.699999999999999,5.14,6.0,8.4,2019
sea,7.800000000000001,7.5,7.284999999999999,14.0,2.6000000000000005,2019
tam,8.0,2.8,6.76,9.0,3.6,2019
oti,6.8,6.699999999999999,3.855,9.0,6.000000000000001,2019
was,3.8000000000000003,6.1,1.095,9.0,3.8000000000000003,2019
crd,6.800000000000001,2.6999999999999997,8.52,14.0,1.8,2020
atl,6.6000000000000005,5.1,7.665,13.0,4.2,2020
rav,9.000000000000002,10.2,5.234999999999999,25.0,9.600000000000001,2020
buf,6.8,4.499999999999999,9.665,11.0,2.6000000000000005,2020
car,6.0,10.8,6.14,5.0,0.8,2020
chi,4.6,5.699999999999999,6.234999999999999,8.0,3.4000000000000004,2020
cin,5.3999999999999995,5.499999999999999,5.14,2.0,1.6,2020
cle,7.2,9.299999999999999,7.385,11.0,4.800000000000001,2020
dal,7.800000000000001,8.6,7.005000000000001,15.0,2.6000000000000005,2020
den,6.2,7.3999999999999995,4.66,3.0,3.4000000000000004,2020
det,4.799999999999999,5.1,6.8549999999999995,8.0,2.6000000000000005,2020
gnb,6.8,9.899999999999999,5.8999999999999995,14.0,1.0,2020
htx,7.8,6.3999999999999995,6.095,16.0,3.8000000000000003,2020
clt,9.799999999999999,7.3999999999999995,4.19,13.0,3.4000000000000004,2020
