Rank,Name
1,Jalen Hurts
2,Josh Allen
3,Lamar Jackson
4,Patrick Mahomes
5,Justin Fields
6,Marcus Mariota
7,Joe Burrow
8,Daniel Jones
9,Geno Smith
10,Kirk Cousins
11,Trevor Lawrence
12,Deshaun Watson
13,Jameis Winston
14,Tyler Huntley
15,Brock Purdy
16,Jared Goff
17,Dak Prescott
18,Trey Lance
19,Russell Wilson
20,Tua Tagovailoa
21,Jimmy Garoppolo
22,Aaron Rodgers
23,Justin Herbert
24,Derek Carr
25,Taylor Heinicke
26,Sam Darnold
27,Kenny Pickett
28,Trevor Siemian
29,Mitchell Trubisky
30,Andy Dalton
31,Jacoby Brissett
32,Tyrod Taylor
33,Mac Jones
34,Ryan Tannehill
35,Matthew Stafford
36,Zach Wilson
37,Davis Mills
38,Kyle Allen
39,Blaine Gabbert
40,Drew Lock
41,Baker Mayfield
42,P.J. Walker
43,Nick Mullens
44,Mike White
45,Gardner Minshew II
46,Cooper Rush
47,Brandon Allen
48,C.J. Beathard
49,Jarrett Stidham
50,Mason Rudolph
51,Case Keenum
52,Skylar Thompson
53,Matt Barkley
54,Trace McSorley
55,Brett Rypien
56,Chris Streveler
57,John Wolford
58,Malik Willis
59,Colt McCoy
60,Jeff Driskel
61,Brian Hoyer
62,Tim Boyle
63,David Blough
64,Jordan Love
