Rank,Name
1,Travis Kelce
2,George Kittle
3,T.J. Hockenson
4,Mark Andrews
5,Dallas Goedert
6,David Njoku
7,Evan Engram
8,Dalton Schultz
9,Cole Kmet
10,Dawson Knox
11,Pat Freiermuth
12,Kyle Pitts
13,Gerald Everett
14,Greg Dulcich
15,Juwan Johnson
16,Tyler Higbee
17,Darren Waller
18,Jordan Akins
19,Irv Smith Jr.
20,Noah Fant
21,Hayden Hurst
22,Isaiah Likely
23,Robert Tonyan
24,Tyler Conklin
25,Noah Gray
26,Daniel Bellinger
27,Mike Gesicki
28,Austin Hooper
29,Foster Moreau
30,Will Dissly
31,Cade Otton
32,Taysom Hill
33,Hunter Henry
34,Chigoziem Okonkwo
35,Lawrence Cager
36,Harrison Bryant
37,Colby Parkinson
38,Donald Parham
39,Logan Thomas
40,Brock Wright
41,Jody Fortson
42,Teagan Quitoriano
43,Jelani Woods
44,MyCole Pruitt
45,Tommy Tremble
46,Brevin Jordan
47,Jonnu Smith
48,Jake Ferguson
49,Albert Okwuegbunam
50,Kylen Granson
51,Troy Fumagalli
52,Quintin Morris
53,Josh Oliver
54,Jacob Hollister
55,Jack Stoll
56,Tyree Jackson
57,Connor Heyward
58,Grant Calcaterra
59,Trey McBride
60,Blake Bell
61,Jace Sternberger
62,Peyton Hendershot
63,James Mitchell
64,Kendall Blanton
65,C.J. Uzomah
66,Ross Dwelley
67,Adam Trautman
68,Durham Smythe
69,Zach Gentry
70,Ian Thomas
71,Johnny Mundt
72,Tanner Hudson
73,Eric Saubert
74,Tre\' McKitty
75,Mo Alie-Cox
76,John Bates
77,Stone Smartt
78,Jimmy Graham
79,Anthony Firkser
80,Drew Sample
81,Luke Farrell
82,Eric Tomlinson
83,Charlie Woerner
84,Brycen Hopkins
85,Nick Vannett
86,Devin Asiasi
87,Cole Turner
88,Tommy Sweeney
89,Jesse James
90,Jesper Horsted
91,Parker Hesse
92,Stephen Carlson
93,Ko Kieft
94,Giovanni Ricci
95,Jordan Thomas
96,Sean McKeon
97,Jeremy Ruckert
98,Daniel Helm
99,Stephen Sullivan
100,Marcedes Lewis
101,Darrell Daniels
102,Kenny Yeboah
103,Tyler Kroft
104,Pharaoh Brown
105,Kaden Smith
106,Josiah Deguara
107,Dominique Dafney
108,Colin Thompson
109,Mason Schreck
110,Geoff Swaim
111,Kevin Rader
112,J.P. Holtz
113,Trevon Wesco
114,Chris Manhertz
115,Tyler Davis
