Rank,Name
1,Jalen Hurts
2,Josh Allen
3,Justin Fields
4,Patrick Mahomes
5,Lamar Jackson
6,Marcus Mariota
7,Geno Smith
8,Daniel Jones
9,Joe Burrow
10,Trevor Lawrence
11,Kyler Murray
12,Tyler Huntley
13,Aaron Rodgers
14,Russell Wilson
15,Kirk Cousins
16,Sam Darnold
17,Jared Goff
18,Matthew Stafford
19,Justin Herbert
20,Kenny Pickett
21,Tua Tagovailoa
22,Deshaun Watson
23,Taylor Heinicke
24,Kyle Allen
25,Jameis Winston
26,Zach Wilson
27,Mitchell Trubisky
28,Dak Prescott
29,Derek Carr
30,Jacoby Brissett
31,Mac Jones
32,Jimmy Garoppolo
33,Andy Dalton
34,Ryan Tannehill
35,Drew Lock
36,Baker Mayfield
37,Tyrod Taylor
38,Brock Purdy
39,Trey Lance
40,Davis Mills
41,P.J. Walker
42,Blaine Gabbert
43,Mike White
44,Colt McCoy
45,Nick Mullens
46,Matt Barkley
47,Gardner Minshew II
48,John Wolford
49,C.J. Beathard
50,Cooper Rush
51,Jarrett Stidham
52,Nick Foles
53,Skylar Thompson
54,Trace McSorley
55,Chris Streveler
56,David Blough
57,Malik Willis
58,Case Keenum
59,Tim Boyle
60,Jeff Driskel
61,Brian Hoyer
62,Garrett Gilbert
63,Jordan Love
