Rank,Name
1,Josh Jacobs
2,Derrick Henry
3,Saquon Barkley
4,Nick Chubb
5,Christian McCaffrey
6,Kenneth Walker III
7,Austin Ekeler
8,Tony Pollard
9,Joe Mixon
10,Travis Etienne
11,Rashaad Penny
12,Miles Sanders
13,D\'Andre Swift
14,Elijah Mitchell
15,Rhamondre Stevenson
16,Dameon Pierce
17,Tyler Allgeier
18,Jamaal Williams
19,Khalil Herbert
20,Brian Robinson Jr.
21,David Montgomery
22,James Conner
23,Najee Harris
24,Cam Akers
25,Jeff Wilson
26,Javonte Williams
27,Zonovan Knight
28,Devin Singletary
29,Raheem Mostert
30,Aaron Jones
31,Damien Harris
32,Antonio Gibson
33,Isiah Pacheco
34,Latavius Murray
35,D\'Onta Foreman
36,James Cook
37,Clyde Edwards-Helaire
38,James Robinson
39,AJ Dillon
40,Cordarrelle Patterson
41,Michael Carter
42,Kenneth Gainwell
43,Chuba Hubbard
44,Myles Gaskin
45,Eno Benjamin
46,Gus Edwards
47,Rachaad White
48,Kenyan Drake
49,Joshua Kelley
50,Trey Sermon
51,Samaje Perine
52,Alexander Mattison
53,Jermar Jefferson
54,Jaylen Warren
55,Zack Moss
56,Kyren Williams
57,Jerick McKinnon
58,Boston Scott
59,Malik Davis
60,Jaret Patterson
61,Snoop Conner
62,Travis Homer
63,Darrynton Evans
64,DeeJay Dallas
65,Jamycal Hasty
66,Gary Brightwell
67,Deon Jackson
68,Derrick Gore
69,Craig Reynolds
70,Raheem Blackshear
71,Jordan Mason
72,Salvon Ahmed
73,Chase Edmonds
74,Hassan Haskins
75,La\'Mical Perine
76,Zamir White
77,Melvin Gordon
78,Matt Breida
79,Qadree Ollison
80,Larry Rountree
81,Pierre Strong
82,Alec Ingold
83,J.J. Taylor
84,Trayveon Williams
85,Reggie Gilliam
86,Marlon Mack
87,Ronnie Rivers
88,Trestan Ebner
89,Royce Freeman
90,Zander Horvath
91,Mike Boone
92,Chris Evans
93,Anthony McFarland Jr.
94,Justice Hill
95,Jonathan Ward
96,Ameer Abdullah
97,Keaontay Ingram
98,Tony Jones
99,Jerome Ford
100,Ty\'Son Williams
101,Kene Nwangwu
102,Jonathan Williams
103,D\'Ernest Johnson
104,Damarea Crockett
105,Jason Cabinda
106,Rico Dowdle
107,Chris Myarick
108,Nick Bawden
109,Khari Blasingame
110,Demetric Felton
111,Dare Ogunbowale
112,Jakob Johnson
113,Adam Prentice
114,Andrew Beck
115,Ke\'Shawn Vaughn
116,Corey Clement
117,C.J. Ham
118,Jake Funk
119,John Kelly
120,Patrick Taylor
121,Alex Armah
122,Godwin Igwebuike
123,Brandon Bolden
124,Kyle Juszczyk
125,Patrick Laird
126,Michael Burton
127,Keith Smith
