Rank,Name
1,Travis Kelce
2,Dallas Goedert
3,T.J. Hockenson
4,Mark Andrews
5,George Kittle
6,David Njoku
7,Pat Freiermuth
8,Evan Engram
9,Dawson Knox
10,Greg Dulcich
11,Cole Kmet
12,Dalton Schultz
13,Kyle Pitts
14,Darren Waller
15,Gerald Everett
16,Juwan Johnson
17,Irv Smith Jr.
18,Tyler Higbee
19,Noah Fant
20,Tyler Conklin
21,Jordan Akins
22,Taysom Hill
23,Isaiah Likely
24,Foster Moreau
25,Daniel Bellinger
26,Hayden Hurst
27,Robert Tonyan
28,Cade Otton
29,Will Dissly
30,Hunter Henry
31,Noah Gray
32,Austin Hooper
33,Colby Parkinson
34,Mike Gesicki
35,Chigoziem Okonkwo
36,Kylen Granson
37,Jelani Woods
38,Brock Wright
39,Logan Thomas
40,Harrison Bryant
41,Lawrence Cager
42,Jonnu Smith
43,Donald Parham
44,Trey McBride
45,Jake Ferguson
46,Tanner Hudson
47,Teagan Quitoriano
48,James Mitchell
49,Tommy Tremble
50,Albert Okwuegbunam
51,Quintin Morris
52,Josh Oliver
53,Peyton Hendershot
54,Connor Heyward
55,C.J. Uzomah
56,Adam Trautman
57,Jack Stoll
58,Brevin Jordan
59,Jody Fortson
60,MyCole Pruitt
61,Johnny Mundt
62,Durham Smythe
63,Grant Calcaterra
64,Jace Sternberger
65,Zach Gentry
66,Eric Saubert
67,Troy Fumagalli
68,John Bates
69,Ross Dwelley
70,Drew Sample
71,Mo Alie-Cox
72,Tyree Jackson
73,Ian Thomas
74,Tre\' McKitty
75,Devin Asiasi
76,Anthony Firkser
77,Brycen Hopkins
78,Ko Kieft
79,Kendall Blanton
80,Jacob Hollister
81,Cole Turner
82,Stone Smartt
83,Blake Bell
84,Parker Hesse
85,Jeremy Ruckert
86,Kenny Yeboah
87,Pharaoh Brown
88,Jimmy Graham
89,Tyler Kroft
90,Sean McKeon
91,Giovanni Ricci
92,Jesse James
93,Charlie Woerner
94,Kaden Smith
95,Daniel Helm
96,Josiah Deguara
97,Dominique Dafney
98,Darrell Daniels
99,Tommy Sweeney
100,Luke Farrell
101,Nick Vannett
102,Colin Thompson
103,Jesper Horsted
104,Eric Tomlinson
105,Stephen Sullivan
106,Stephen Carlson
107,Chris Manhertz
108,Geoff Swaim
109,Jordan Thomas
110,Tyler Davis
111,J.P. Holtz
112,Marcedes Lewis
113,Mason Schreck
114,Trevon Wesco
115,Kevin Rader
