Rank,Name
1,Ja\'Marr Chase
2,Justin Jefferson
3,Cooper Kupp
4,CeeDee Lamb
5,Davante Adams
6,A.J. Brown
7,Tyreek Hill
8,Stefon Diggs
9,Amon-Ra St. Brown
10,Jaylen Waddle
11,DeVonta Smith
12,Tee Higgins
13,DeAndre Hopkins
14,Chris Olave
15,Keenan Allen
16,D.K. Metcalf
17,Chris Godwin
18,Christian Kirk
19,Jerry Jeudy
20,Garrett Wilson
21,Gabriel Davis
22,Tyler Lockett
23,Brandon Aiyuk
24,Calvin Ridley
25,Michael Pittman Jr.
26,Jakobi Meyers
27,Marquise Brown
28,Amari Cooper
29,Mike Evans
30,Christian Watson
31,Drake London
32,Jahan Dotson
33,Terry McLaurin
34,Mike Williams
35,Deebo Samuel
36,D.J. Moore
37,Rondale Moore
38,Mecole Hardman
39,Zay Jones
40,Josh Palmer
41,JuJu Smith-Schuster
42,Isaiah Hodgins
43,George Pickens
44,Allen Lazard
45,Nico Collins
46,Romeo Doubs
47,Brandin Cooks
48,Tyler Boyd
49,Donovan Peoples-Jones
50,Diontae Johnson
51,Michael Thomas
52,Courtland Sutton
53,Curtis Samuel
54,K.J. Osborn
55,Sterling Shepard
56,Russell Gage
57,Parris Campbell
58,Treylon Burks
59,DJ Chark
60,Darius Slayton
61,Hunter Renfrow
62,Michael Gallup
63,Alec Pierce
64,Rashid Shaheed
65,Darnell Mooney
66,Adam Thielen
67,Trenton Irwin
68,Josh Reynolds
69,Mack Hollins
70,Terrace Marshall Jr.
71,Deonte Harty
72,Richie James
73,Olamide Zaccheaus
74,Greg Dortch
75,Chase Claypool
76,Noah Brown
77,Allen Robinson
78,Devin Duvernay
79,Isaiah McKenzie
80,Kadarius Toney
81,Elijah Moore
82,Odell Beckham Jr.
83,Corey Davis
84,Tyquan Thornton
85,Van Jefferson
86,Kalif Raymond
87,Quez Watkins
88,DeAndre Carter
89,Jamison Crowder
90,DeVante Parker
91,Marvin Jones
92,Marquez Valdes-Scantling
93,Freddie Swain
94,Chris Moore
95,Laviska Shenault Jr.
96,Trent Sherfield
97,Robert Woods
98,Ben Skowronek
99,Shi Smith
100,Cole Beasley
101,Jauan Jennings
102,Nick Westbrook-Ikhine
103,Demarcus Robinson
104,Tutu Atwell
105,David Moore
106,Kendrick Bourne
107,Kendall Hinton
108,Skyy Moore
109,Amari Rodgers
110,Khalil Shakir
111,Denzel Mims
112,Lynn Bowden Jr.
113,Trey Quinn
114,David Bell
115,Brandon Johnson
116,Laquon Treadwell
117,Tyler Johnson
118,Lil\'Jordan Humphrey
119,Jamal Agnew
120,Trinity Benson
121,James Washington
122,Equanimeous St. Brown
123,Dyami Brown
124,Nelson Agholor
125,KeeSean Johnson
126,Marquez Callaway
127,Samori Toure
128,Velus Jones Jr.
129,Ashton Dulin
130,Randall Cobb
131,Tre\'Quan Smith
132,Jalen Reagor
133,Scott Miller
134,Chosen Anderson
135,Jalen Nailor
136,Justin Watson
137,Steven Sims
138,Braxton Berrios
139,Ihmir Smith-Marsette
140,Ray-Ray McCloud
141,Dezmon Patmon
142,Anthony Schwartz
143,Phillip Dorsett
144,Jalen Virgil
145,River Cracraft
146,Malik Turner
147,David Sills
148,Dax Milne
149,Isaiah Ford
150,Montrell Washington
151,Damiere Byrd
152,Michael Bandy
153,Byron Pringle
154,Collin Johnson
155,Keelan Doss
156,Jalen Tolbert
157,John Hightower
158,Keke Coutee
159,Brandon Powell
160,Greg Ward
161,Ja\'Marcus Bradley
162,KhaDarel Hodge
163,Juwann Winfree
164,Cedrick Wilson Jr.
165,Racey McMath
166,Keelan Cole
167,Dareke Young
168,Deon Cain
169,Andre Baccellia
170,Breshad Perriman
171,Cam Sims
172,Trent Taylor
173,Tyron Johnson
174,Chris Lacy
175,Bryan Edwards
176,KaVontae Turpin
177,Tylan Wallace
178,Dan Arnold
179,Tyrie Cleveland
180,DJ Turner
181,Darrius Shepherd
182,Ty Montgomery
183,Marcell Ateman
184,Stanley Morgan Jr.
185,Jakeem Grant
186,Zach Pascal
187,Jaelon Darden
188,Danny Gray
189,Andy Isabella
190,Tim Jones
191,Cody White
192,Joe Reed
193,Mike Strachan
194,Gunner Olszewski
195,Frank Darby
196,Jaydon Mickens
197,Lance McCutcheon
198,Javon Wims
199,Penny Hart
200,Jacob Harris
201,Keith Kirkwood
202,James Proche
203,JJ Arcega-Whiteside
204,Marcus Kemp
205,Vyncint Smith
206,Miles Boykin
207,Malik Taylor
208,Willie Snead
209,Chris Conley
210,C.J. Goodwin
211,Alex Erickson
