Rank,Name
1,Austin Ekeler
2,Josh Jacobs
3,Christian McCaffrey
4,Joe Mixon
5,Saquon Barkley
6,Derrick Henry
7,D\'Andre Swift
8,Rhamondre Stevenson
9,Tony Pollard
10,Kenneth Walker III
11,Dameon Pierce
12,Nick Chubb
13,James Conner
14,Najee Harris
15,Travis Etienne
16,David Montgomery
17,Aaron Jones
18,Javonte Williams
19,Antonio Gibson
20,Miles Sanders
21,Jamaal Williams
22,Elijah Mitchell
23,Zonovan Knight
24,Devin Singletary
25,Brian Robinson Jr.
26,Rashaad Penny
27,Clyde Edwards-Helaire
28,Tyler Allgeier
29,Damien Harris
30,Cam Akers
31,Jeff Wilson
32,Michael Carter
33,AJ Dillon
34,Latavius Murray
35,James Cook
36,Rachaad White
37,Isiah Pacheco
38,Myles Gaskin
39,Khalil Herbert
40,James Robinson
41,Raheem Mostert
42,Jerick McKinnon
43,Kenneth Gainwell
44,Cordarrelle Patterson
45,Melvin Gordon
46,Samaje Perine
47,D\'Onta Foreman
48,Alexander Mattison
49,Chuba Hubbard
50,Jermar Jefferson
51,Jaylen Warren
52,Kenyan Drake
53,Deon Jackson
54,Joshua Kelley
55,Trey Sermon
56,Travis Homer
57,Gus Edwards
58,Darrynton Evans
59,DeeJay Dallas
60,Kyren Williams
61,Chase Edmonds
62,Craig Reynolds
63,Zack Moss
64,Jaret Patterson
65,Malik Davis
66,Raheem Blackshear
67,La\'Mical Perine
68,Boston Scott
69,Snoop Conner
70,Jamycal Hasty
71,Benny Snell Jr.
72,Reggie Gilliam
73,Gary Brightwell
74,Salvon Ahmed
75,Trayveon Williams
76,Chris Evans
77,Larry Rountree
78,Jeremy McNichols
79,Alec Ingold
80,Jordan Mason
81,Justice Hill
82,J.J. Taylor
83,Trestan Ebner
84,Matt Breida
85,Hassan Haskins
86,Derrick Gore
87,Kene Nwangwu
88,Keaontay Ingram
89,Anthony McFarland Jr.
90,Ronnie Rivers
91,Zander Horvath
92,Zamir White
93,Pierre Strong
94,Tony Jones
95,Royce Freeman
96,Devine Ozigbo
97,Qadree Ollison
98,Jason Cabinda
99,Darwin Thompson
100,Mike Boone
101,Ty\'Son Williams
102,Jerome Ford
103,Damien Williams
104,Rico Dowdle
105,Adam Prentice
106,Damarea Crockett
107,Ke\'Shawn Vaughn
108,Jordan Wilkins
109,Jonathan Williams
110,Ameer Abdullah
111,Demetric Felton
112,Patrick Taylor
113,C.J. Ham
114,Dare Ogunbowale
115,Nick Bawden
116,Jake Funk
117,Jonathan Ward
118,Chris Myarick
119,D\'Ernest Johnson
120,Khari Blasingame
121,Corey Clement
122,Andrew Beck
123,Patrick Ricard
124,Patrick Laird
125,Alex Armah
126,Godwin Igwebuike
127,John Kelly
128,Jakob Johnson
129,Kyle Juszczyk
130,Michael Burton
131,Brandon Bolden
132,Keith Smith
