Rank,Name
1,Travis Kelce
2,Dallas Goedert
3,Mark Andrews
4,Taysom Hill
5,T.J. Hockenson
6,Pat Freiermuth
7,David Njoku
8,George Kittle
9,Evan Engram
10,Greg Dulcich
11,Irv Smith Jr.
12,Dawson Knox
13,Dalton Schultz
14,Kyle Pitts
15,Tyler Higbee
16,Tyler Conklin
17,Zach Ertz
18,Cole Kmet
19,Jordan Akins
20,Gerald Everett
21,Hayden Hurst
22,Cade Otton
23,Noah Fant
24,Robert Tonyan
25,Noah Gray
26,Hunter Henry
27,Kylen Granson
28,Daniel Bellinger
29,Isaiah Likely
30,Darren Waller
31,Jack Stoll
32,Jonnu Smith
33,Harrison Bryant
34,Will Dissly
35,Logan Thomas
36,Austin Hooper
37,Grant Calcaterra
38,Juwan Johnson
39,Quintin Morris
40,Colby Parkinson
41,Jelani Woods
42,Trey McBride
43,Tanner Hudson
44,Jody Fortson
45,Mike Gesicki
46,Connor Heyward
47,Peyton Hendershot
48,Brock Wright
49,Tyree Jackson
50,Jake Ferguson
51,Durham Smythe
52,James Mitchell
53,Kendall Blanton
54,Zach Gentry
55,Drew Sample
56,Chigoziem Okonkwo
57,Ross Dwelley
58,Eric Saubert
59,Brevin Jordan
60,Devin Asiasi
61,Tommy Tremble
62,Lawrence Cager
63,Armani Rogers
64,John Bates
65,Adam Trautman
66,Josh Oliver
67,Albert Okwuegbunam
68,Ian Thomas
69,C.J. Uzomah
70,Tre\' McKitty
71,Johnny Mundt
72,Mo Alie-Cox
73,Shane Zylstra
74,Blake Bell
75,Charlie Woerner
76,O.J. Howard
77,Teagan Quitoriano
78,Tanner Conner
79,Josiah Deguara
80,Parker Hesse
81,Ko Kieft
82,Sean McKeon
83,Pharaoh Brown
84,Ben Ellefson
85,Cole Turner
86,Dominique Dafney
87,Stone Smartt
88,Giovanni Ricci
89,Luke Farrell
90,Brycen Hopkins
91,Jesper Horsted
92,Feleipe Franks
93,Tyler Davis
94,Kenny Yeboah
95,Jeremy Ruckert
96,Stephen Sullivan
97,Tommy Sweeney
98,Nick Vannett
99,Chris Manhertz
100,Hunter Long
101,Mason Schreck
102,Kevin Rader
103,Trevon Wesco
