Name,Score
Jonathan Taylor,204.42248895438496
Derrick Henry,194.6667986520424
Joe Mixon,148.73941036285507
Austin Ekeler,142.04058364833355
Elijah Mitchell,126.90525165628299
Josh Jacobs,115.76971080257816
Damien Harris,114.03461466902809
Cooper Kupp,113.87524634508893
Dalvin Cook,110.35361317828195
Leonard Fournette,106.27115118270463
James Conner,105.8266911078355
Najee Harris,104.15476590203681
Christian McCaffrey,102.77769727151664
Justin Jefferson,102.43960161190913
Ja\'Marr Chase,101.01827487048831
Darrell Henderson,98.17573894799443
Davante Adams,94.95377842627529
George Kittle,94.74485050465206
David Montgomery,94.31892788914607
Alvin Kamara,94.31635047424427
Travis Kelce,94.07902487593512
D\'Andre Swift,93.2603578064936
Chris Godwin,91.42049601939816
Mark Andrews,88.73479133866554
Tee Higgins,87.89029237492548
Darren Waller,87.04044865986694
Antonio Gibson,86.98001879719037
Diontae Johnson,86.93299092328444
Marquise Brown,85.4198975698845
Stefon Diggs,85.21283406540829
Deebo Samuel,85.1125499928119
Mike Evans,83.37373460503332
Tyreek Hill,82.03571302588679
Jaylen Waddle,80.29194070511159
T.J. Hockenson,80.07036684484433
Mike Williams,79.41158142094973
Keenan Allen,79.33055290427207
Ezekiel Elliott,78.73675400331577
CeeDee Lamb,78.6685544846157
Hunter Renfrow,78.45869768972993
D.J. Moore,77.66343444788703
Nick Chubb,76.93047960012301
Michael Pittman Jr.,75.82800457127988
Rashaad Penny,75.74208385335004
DeAndre Hopkins,74.31090492448341
A.J. Brown,74.00403910690767
Javonte Williams,73.70519528334356
D.K. Metcalf,72.4354979804039
Adam Thielen,70.25019752591524
Russell Gage,69.81665507548311
Clyde Edwards-Helaire,69.76881209411245
Elijah Moore,69.41055123744982
Amon-Ra St. Brown,68.94544542358466
Devin Singletary,67.71507262380915
Rhamondre Stevenson,67.52947865387638
Robert Woods,67.13850494692419
Terry McLaurin,67.05783155770618
Amari Cooper,66.92048052090811
Darnell Mooney,66.50526167051639
Brandin Cooks,66.42778675292563
Dallas Goedert,66.29770757254026
Dalton Schultz,63.92913800306646
Corey Davis,63.90631402414661
Zach Ertz,62.94374418760287
DeVonta Smith,62.70923320352334
JuJu Smith-Schuster,62.7063353907169
Tyler Higbee,61.93547818883088
Tyler Lockett,60.704294655487054
James Robinson,60.10263832778996
Tyler Boyd,59.04134985484212
Christian Kirk,59.040602215920316
Mike Gesicki,58.4882813496731
Aaron Jones,58.26457947013252
Chase Claypool,57.74649920477304
AJ Dillon,57.66624740856893
Michael Gallup,57.408343094406
Jakobi Meyers,57.16816422540456
Miles Sanders,57.093788291041214
Chase Edmonds,56.89524441166974
Rondale Moore,56.62981359565389
Dawson Knox,56.00424018443214
DJ Chark,55.7194833764992
Brandon Aiyuk,55.38922368538296
Keke Coutee,55.32444429714734
Jerry Jeudy,55.18714583998227
K.J. Osborn,53.741815320319716
Van Jefferson,53.56819787015583
Gabriel Davis,53.53017673258544
Michael Carter,53.36544787026421
Allen Lazard,53.19631347658714
D\'Onta Foreman,52.85999784709766
Lamar Jackson,52.60850947593798
Sterling Shepard,52.49023058182392
Donovan Peoples-Jones,50.973563955604405
Jarvis Landry,50.93371996431836
DeVante Parker,50.89490519191114
Mecole Hardman,50.700231370416596
Laviska Shenault Jr.,50.64726340079501
Cam Akers,50.43802284043054
Jalen Hurts,50.43475529451104
Noah Fant,50.34240524495447
Kareem Hunt,50.3285040537967
Curtis Samuel,49.98366802198751
J.K. Dobbins,49.93453266146114
Patrick Mahomes,49.812228423737494
Marquez Callaway,49.762651843942315
Tom Brady,48.789414149879825
Kendrick Bourne,48.71066032150428
Courtland Sutton,48.69341181875074
Josh Allen,48.61696181787535
Sony Michel,48.446194326565596
Jamison Crowder,48.39572927609131
Darrel Williams,48.301448125072184
Kadarius Toney,48.17620674369704
Deonte Harty,47.658369336938776
Cedrick Wilson Jr.,46.64330408007854
Kyler Murray,46.551310544318326
