Name,Score
Jonathan Taylor,14.297639279069289
Derrick Henry,13.952304420848995
Joe Mixon,12.195876777126566
Austin Ekeler,11.918078018218104
Elijah Mitchell,11.265223107257263
Josh Jacobs,10.759633395361487
Damien Harris,10.678699109396616
Dalvin Cook,10.504932802178315
Leonard Fournette,10.308789996052138
James Conner,10.287210074059706
Najee Harris,10.205624228925775
Christian McCaffrey,10.137933579951914
Darrell Henderson,9.908367118147895
David Montgomery,9.71179323756154
Alvin Kamara,9.71166054154717
D\'Andre Swift,9.657140249913201
Antonio Gibson,9.326307886682187
Ezekiel Elliott,8.873373315899414
Nick Chubb,8.771002200439982
Rashaad Penny,8.702992810140087
Javonte Williams,8.585172990880473
Clyde Edwards-Helaire,8.35277271893067
Devin Singletary,8.228916856051539
Rhamondre Stevenson,8.217632180493137
James Robinson,7.752589137042538
Aaron Jones,7.6331238343244845
AJ Dillon,7.59382956146429
Miles Sanders,7.556043163656572
Chase Edmonds,7.542893636507792
Michael Carter,7.305165834549152
D\'Onta Foreman,7.2704881436597955
Cam Akers,7.101973165285162
Kareem Hunt,7.094258527414736
J.K. Dobbins,7.066437055649837
Sony Michel,6.960330044370425
Darrel Williams,6.94992432513277
Myles Gaskin,6.817865958849206
Chuba Hubbard,6.80786708726607
Melvin Gordon,6.767139227905012
Tony Pollard,6.7255854872429275
Saquon Barkley,6.704471797999549
Kenneth Gainwell,6.680107257278815
Alexander Mattison,6.621436452128796
Jordan Howard,5.880997617896766
Raheem Mostert,5.7727529600074305
Zack Moss,5.707623655453611
Jamaal Williams,5.686438697326773
Boston Scott,5.146122639972399
Duke Johnson,5.134938900845884
Dontrell Hilliard,5.121330074875772
J.D. McKissic,4.996951471561756
Trey Sermon,4.995009800459281
Cordarrelle Patterson,4.95419603106302
Gus Edwards,4.909347511840735
Jeff Wilson,4.765684119408517
Ronald Jones II,4.405662272823598
Samaje Perine,4.363790781613353
Khalil Herbert,4.14284113299742
Larry Rountree,4.1395988082699
Salvon Ahmed,4.091771973281512
Chris Evans,4.0902206290952705
J.J. Taylor,4.067783774357782
Justin Jackson,4.064147323570916
Jaret Patterson,4.028420241172881
Kenyan Drake,4.020167500625298
Nyheim Hines,3.984798105539419
Ke\'Shawn Vaughn,3.875054160415297
Craig Reynolds,3.862093934931262
Ty Johnson,3.742232779509562
Travis Homer,3.740728158628407
Mike Davis,3.6119971730363862
Eno Benjamin,3.519879148284181
Marlon Mack,3.512973092757773
Trayveon Williams,3.5079195582620804
Tevin Coleman,3.4576108718966148
DeeJay Dallas,3.357792030563017
D\'Ernest Johnson,3.3560141949341427
Joshua Kelley,3.316265706471418
Malcolm Brown,3.2257869216217063
Ameer Abdullah,3.11996581357035
Jake Funk,3.0807149951041968
Patrick Taylor,3.0107883087073644
Latavius Murray,3.0104447172416915
Ty\'Son Williams,3.0085415747694375
Kene Nwangwu,3.005823002823763
Deon Jackson,2.93053636546052
Tony Jones,2.781660025619598
Brandon Bolden,2.657504547003744
Jamycal Hasty,2.6315185694500185
Mark Ingram,2.44777761456525
Qadree Ollison,2.4456044338437173
Alec Ingold,2.4261220624509225
Reggie Gilliam,2.4236497663781678
Jordan Wilkins,2.4063040634145603
Phillip Lindsay,2.3694750943936045
Matt Breida,2.2480962035204812
Kylin Hill,2.129298732221264
Anthony McFarland Jr.,2.1089871498873047
Royce Freeman,2.0803086258371164
Rex Burkhead,2.0191623472343068
Reggie Bonnafon,1.849949648779545
Rico Dowdle,1.7699409463088647
Gary Brightwell,1.7552035699410877
Jonathan Ward,1.6509746306663775
Justice Hill,1.5277112597403184
Kyle Juszczyk,1.5161356063191056
Dare Ogunbowale,1.4681498279882015
Corey Clement,1.4666561218695502
David Johnson,1.4562657495031077
Jonathan Williams,1.4182400120563496
Jakob Johnson,1.401715359447641
Benny Snell Jr.,1.3885391908288625
C.J. Ham,1.2639122230455326
Demetric Felton,1.2631602524440506
Jason Cabinda,1.2601931707199354
Adam Prentice,1.208032222491545
Giovani Bernard,1.1639546371136904
Devine Ozigbo,1.1495163659542986
Andrew Beck,1.0925572181107024
Godwin Igwebuike,1.016472548192656
Mike Boone,0.9213034346890374
Damien Williams,0.700717686447156
Alex Armah,0.6569233255429248
Jerick McKinnon,0.6503794325644403
Khari Blasingame,0.6346657503221981
Patrick Ricard,0.6111950834925802
Chris Myarick,0.589251307048859
John Kelly,0.09119793934667322
Michael Burton,-0.008012570684317766
Trenton Cannon,-0.01883959181925289
Dwayne Washington,-0.04500053570255362
Taiwan Jones,-1.0151869074610893
Derek Watt,-1.3907320229209588
Keith Smith,-1.4523674032901595
