Name,Score
George Kittle,6.882762908333109
Travis Kelce,6.858535735706825
Mark Andrews,6.660885501893331
Darren Waller,6.596986003466543
T.J. Hockenson,6.327336202733514
Dallas Goedert,5.757504128202613
Dalton Schultz,5.653721694736418
Zach Ertz,5.609979687467811
Tyler Higbee,5.564866493853688
Mike Gesicki,5.4077851912623665
Dawson Knox,5.291702948221496
Noah Fant,5.017091051842415
Kyle Pitts,4.766122177150598
Gerald Everett,4.734380432877939
Cole Kmet,4.5891968679665105
Pat Freiermuth,4.572896437974708
Hunter Henry,4.265794870967922
Tyler Conklin,4.090474535748893
Dan Arnold,4.0638142881294925
Logan Thomas,3.903724351315814
Evan Engram,3.7080724933877254
Irv Smith Jr.,3.6113778286714773
C.J. Uzomah,3.563670827153677
David Njoku,3.539769386256785
Hayden Hurst,3.5155951655327558
Cameron Brate,3.262921064664913
Foster Moreau,3.249476840217312
Kyle Rudolph,3.0060084026300276
Ryan Griffin,2.938373071614862
Durham Smythe,2.909961519045904
Maxx Williams,2.8649226156397853
Albert Okwuegbunam,2.847717694331298
Donald Parham,2.776864766009067
Jonnu Smith,2.6678979391636304
Richard Rodgers,2.661215997654686
Brevin Jordan,2.6187544704798107
Adam Trautman,2.605846247931161
Robert Tonyan,2.5748113927001195
Tyler Kroft,2.547194004445888
Austin Hooper,2.448647353290981
Harrison Bryant,2.308920142371963
Mo Alie-Cox,2.223407380311985
Will Dissly,2.2087358060648734
Drew Sample,2.162378546196084
Jacob Hollister,2.1366103233617553
Stephen Anderson,2.107439622564577
Anthony Firkser,2.0958775964878553
Tommy Tremble,2.031473159210929
Kendall Blanton,1.9059931481893264
Devin Asiasi,1.8776652601352632
Tre\' McKitty,1.7897325977555865
Mitchell Wilcox,1.780245557478859
Jordan Akins,1.7789062160424374
Tommy Sweeney,1.7734326261752962
Ian Thomas,1.756994602280105
Geoff Swaim,1.7315724905235923
Brock Wright,1.7309999381341195
Zach Gentry,1.7217461072881255
Josiah Deguara,1.6686718504674716
Jesper Horsted,1.5924946907115378
Juwan Johnson,1.5632673997926216
Tyree Jackson,1.4729324933191774
John Bates,1.4477615370177268
Pharaoh Brown,1.4457371201569043
Trevon Wesco,1.3735635157984163
Jack Stoll,1.305524799518287
Jesse James,1.2391727455616575
Hunter Long,1.21421017825457
Johnny Mundt,1.1873138146509379
Sean McKeon,1.152584455730046
Ben Ellefson,1.1511402692097823
Charlie Woerner,1.1323255808044463
Colby Parkinson,1.1142873084464004
Luke Farrell,1.098523741219788
Cethan Carter,1.0951750384321657
Ross Dwelley,1.0804064237564486
Marcedes Lewis,1.0742236196120127
Kylen Granson,1.0564761115058452
Nick Vannett,1.0317593315481037
O.J. Howard,0.9282885779659128
Chris Manhertz,0.9255909149107165
Blake Bell,0.8645565961363445
Kenny Yeboah,0.8443129176667293
Eric Saubert,0.7977996319567167
MyCole Pruitt,0.7717436837403242
Noah Gray,0.7101544116827808
Giovanni Ricci,0.6902066509764829
Garrett Griffin,0.6516720963696758
Taysom Hill,0.4750586702155798
Parker Hesse,0.45805104101598315
Eric Tomlinson,0.3934218037845109
Tyler Davis,0.3721364992004323
Kevin Rader,0.31750026360120276
Nick Boyle,0.31627377363173254
J.P. Holtz,0.25764648936814716
Mason Schreck,0.07349520016477798
Josh Oliver,0.0657944626393036
Feleipe Franks,0.010267583482549353
Tanner Hudson,-0.23210399966325346
