Name,Score
Cooper Kupp,12.652805149454325
Justin Jefferson,11.382177956878792
Ja\'Marr Chase,11.22425276338759
Davante Adams,10.550419825141699
Chris Godwin,10.15783289104424
Tee Higgins,9.765588041658386
Diontae Johnson,9.65922121369827
Marquise Brown,9.491099729987166
Stefon Diggs,9.468092673934255
Deebo Samuel,9.456949999201322
Mike Evans,9.263748289448147
Tyreek Hill,9.115079225098533
Jaylen Waddle,8.921326745012399
Mike Williams,8.823509046772193
Keenan Allen,8.814505878252453
CeeDee Lamb,8.740950498290633
Hunter Renfrow,8.717633076636659
D.J. Moore,8.62927049420967
Michael Pittman Jr.,8.42533384125332
DeAndre Hopkins,8.25676721383149
A.J. Brown,8.22267101187863
D.K. Metcalf,8.048388664489321
Adam Thielen,7.805577502879471
Russell Gage,7.757406119498123
Elijah Moore,7.712283470827758
Amon-Ra St. Brown,7.660605047064962
Robert Woods,7.4598338829915765
Terry McLaurin,7.450870173078464
Amari Cooper,7.435608946767568
Darnell Mooney,7.389473518946266
Brandin Cooks,7.380865194769514
Corey Davis,7.100701558238512
DeVonta Smith,6.96769257816926
JuJu Smith-Schuster,6.967370598968545
Tyler Lockett,6.74492162838745
Tyler Boyd,6.560149983871346
Christian Kirk,6.5600669128800355
Chase Claypool,6.416277689419227
Michael Gallup,6.378704788267333
Jakobi Meyers,6.352018247267173
Rondale Moore,6.29220151062821
DJ Chark,6.191053708499911
Brandon Aiyuk,6.154358187264773
Keke Coutee,6.147160477460815
Jerry Jeudy,6.131905093331364
K.J. Osborn,5.971312813368858
Van Jefferson,5.95202198557287
Gabriel Davis,5.947797414731715
Allen Lazard,5.910701497398572
Sterling Shepard,5.832247842424881
Donovan Peoples-Jones,5.663729328400489
Jarvis Landry,5.659302218257595
DeVante Parker,5.654989465767905
Mecole Hardman,5.6333590411574
Laviska Shenault Jr.,5.627473711199446
Curtis Samuel,5.5537408913319455
Marquez Callaway,5.529183538215813
Kendrick Bourne,5.412295591278253
Courtland Sutton,5.410379090972304
Jamison Crowder,5.3773032528990345
Kadarius Toney,5.3529118604107815
Deonte Harty,5.2953743707709755
Cedrick Wilson Jr.,5.1825893422309495
Rashod Bateman,5.169937380296998
Michael Thomas,5.162869243012961
Cole Beasley,5.143828611943912
Chosen Anderson,4.987669305786808
Marvin Jones,4.9550059324950855
A.J. Green,4.867860797325921
KJ Hamler,4.846999722476339
Nick Westbrook-Ikhine,4.793856443845632
Tre\'Quan Smith,4.72706290281347
Marquez Valdes-Scantling,4.635129325272764
Jalen Guyton,4.5736078826442
Quez Watkins,4.477331417538563
Josh Palmer,4.469212185059707
Kalif Raymond,4.468929047000138
Breshad Perriman,4.376176587880337
Nico Collins,4.3174310499796835
Randall Cobb,4.277305128029083
Parris Campbell,4.180680667082661
Darius Slayton,4.13476425338831
Jalen Reagor,4.119156308435336
Bryan Edwards,4.0983505002953
Julio Jones,4.070518772951038
Byron Pringle,4.0472816277941135
Quintez Cephus,4.032843276928476
Allen Robinson,4.0213443405738545
Josh Reynolds,4.003014245354194
Braxton Berrios,3.8490721726725616
Zach Pascal,3.791886292078452
Sammy Watkins,3.722039269787365
Nelson Agholor,3.696397221493798
Zay Jones,3.6653871486825187
Freddie Swain,3.6049002826786376
John Brown,3.6043445181818496
Jamal Agnew,3.5552493810658867
Kenny Golladay,3.5379169903009546
Jauan Jennings,3.512303924690598
Lil\'Jordan Humphrey,3.505331643674859
Richie James,3.4928396656145098
Steven Sims,3.469331498977587
T.Y. Hilton,3.387757366641267
Laquon Treadwell,3.332418322478195
DeAndre Carter,3.328319138066682
Ray-Ray McCloud,3.3114494536325694
James Washington,3.25766693346879
Tyler Johnson,3.114969312787605
Ihmir Smith-Marsette,3.0543455839878373
Terrace Marshall Jr.,3.0485764441282446
Olamide Zaccheaus,3.0269494767712946
Lynn Bowden Jr.,3.013450419106528
Chester Rogers,2.891282969511867
Juwann Winfree,2.8635931163327446
Devin Duvernay,2.853639136459093
Cam Sims,2.815908681969433
Isaiah McKenzie,2.783931243937804
Dante Pettis,2.769364489792549
Keelan Cole,2.7669649323064025
Tyron Johnson,2.765544076132218
Rashard Higgins,2.683783543727574
Dyami Brown,2.6772131731792994
Phillip Dorsett,2.664360410802459
Anthony Schwartz,2.653782196581261
Jaelon Darden,2.6359011826666237
Ashton Dulin,2.5831669010816056
Dax Milne,2.480461323289223
Kendall Hinton,2.468358687933215
Chris Conley,2.4068226700803685
Trinity Benson,2.362835076751499
Noah Brown,2.263851347344636
Scott Miller,2.2580165532425425
N\'Keal Harry,2.2205001638897155
Chris Moore,2.1657724926716715
Preston Williams,2.1632683548436424
Dezmon Patmon,2.148332133492963
Marcus Johnson,2.114888566833816
Malik Turner,2.100277576636342
Racey McMath,1.9597740655812328
Mack Hollins,1.9449456542458243
Brandon Zylstra,1.9430184661725978
Demarcus Robinson,1.9405985706836812
Ben Skowronek,1.9009685068494213
Denzel Mims,1.8818574834604158
Keith Kirkwood,1.813790237310072
Pharoh Cooper,1.7873457438716744
Brandon Powell,1.782728067977384
Amari Rodgers,1.6556659581557913
D\'Wayne Eskridge,1.599212899912346
Jeff Smith,1.5958860846178922
Javon Wims,1.5438711482449745
Damiere Byrd,1.4956012209034806
Trent Taylor,1.460492848938408
James Proche,1.3771447658474825
Jason Moore,1.3707455865730842
Trenton Irwin,1.3378388190972634
Equanimeous St. Brown,1.334711772307036
Trent Sherfield,1.3304176432809678
Justin Watson,1.306106222947209
Tyrie Cleveland,1.2495845305258688
Mike Thomas,1.2060300236597679
Stanley Morgan Jr.,1.203917418420712
Marquise Goodwin,1.1981428901554805
Tom Kennedy,1.1719340354168934
Cody White,1.092134065042656
Ty Montgomery,1.0868174021216923
C.J. Board,1.0131625386826324
Gunner Olszewski,0.9728570079871279
Tylan Wallace,0.8968523808403204
Cody Hollister,0.8603604909523017
KhaDarel Hodge,0.8576709419860965
DeSean Jackson,0.7450515838889296
Josh Gordon,0.7024543100419123
Marcus Kemp,0.6777148542452189
River Cracraft,0.6520035054671215
Jake Kumerow,0.5818992024383223
Miles Boykin,0.5282734388297413
Alex Erickson,0.5003800341281747
Penny Hart,0.4453836578085145
Frank Darby,0.41350719559651206
Andy Isabella,0.28257913654277855
Willie Snead,0.1880841838753659
