Team,Pos,Penalty,Games,Name,Age,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,Int,Fumbles,PPG,ol,rb,wr,qb,te
crd,QB,0.6000000000000001,9,David Blough,28.0,159.44444444444446,0.6666666666666666,26.88888888888889,6.666666666666667,0.0,1.5555555555555556,1.0,0.3333333333333333,7.044444444444446,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,QB,1.0,7,Jeff Driskel,30.0,15.428571428571429,0.14285714285714285,2.857142857142857,10.714285714285714,0.0,2.857142857142857,0.0,0.0,2.26,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,QB,0.8666666666666667,12,Colt McCoy,37.0,126.66666666666667,0.3333333333333333,19.25,6.083333333333333,0.0,3.0,0.3333333333333333,0.5,5.341666666666667,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
crd,QB,1.0,11,Kyler Murray,26.0,215.27272727272728,1.2727272727272727,35.45454545454545,38.0,0.2727272727272727,6.090909090909091,0.6363636363636364,0.7272727272727273,16.410909090909094,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
atl,QB,1.0,9,Taylor Heinicke,30.0,206.55555555555554,1.3333333333333333,28.77777777777778,10.666666666666666,0.1111111111111111,3.111111111111111,0.6666666666666666,0.7777777777777778,12.439999999999998,7.200000000000001,7.699999999999999,6.335000000000001,6.0,3.6
rav,QB,0.8923076923076925,13,Tyler Huntley,25.0,133.76923076923077,0.38461538461538464,23.076923076923077,33.15384615384615,0.23076923076923078,6.923076923076923,0.5384615384615384,0.5384615384615384,9.435384615384617,5.6000000000000005,3.7,4.140000000000001,12.0,7.2
rav,QB,1.0,12,Lamar Jackson,26.0,186.83333333333334,1.4166666666666667,27.166666666666668,63.666666666666664,0.25,9.333333333333334,0.5833333333333334,0.4166666666666667,19.006666666666668,5.6000000000000005,3.7,4.140000000000001,12.0,7.2
buf,QB,1.0,16,Josh Allen,27.0,267.6875,2.1875,35.4375,47.625,0.4375,7.75,0.875,0.8125,23.47,9.0,4.4,9.855,20.0,4.2
buf,QB,0.75,8,Kyle Allen,27.0,143.25,0.875,23.0,6.25,0.125,1.875,0.625,0.75,7.855,9.0,4.4,9.855,20.0,4.2
buf,QB,0.5428571428571428,7,Matt Barkley,33.0,79.42857142857143,0.14285714285714285,10.285714285714286,-1.4285714285714286,0.0,1.1428571428571428,0.5714285714285714,0.42857142857142855,1.6057142857142859,9.0,4.4,9.855,20.0,4.2
car,QB,1.0,14,Andy Dalton,36.0,205.07142857142858,1.2857142857142858,27.0,3.857142857142857,0.0,2.142857142857143,0.6428571428571429,0.35714285714285715,11.731428571428573,6.199999999999999,8.2,5.095,8.0,3.6
chi,QB,1.0,15,Justin Fields,24.0,149.46666666666667,1.1333333333333333,21.2,76.2,0.5333333333333333,10.666666666666666,0.7333333333333333,1.0666666666666667,17.732000000000003,5.6,5.699999999999999,6.19,16.0,6.6000000000000005
chi,QB,0.9090909090909091,11,P.J. Walker,28.0,99.36363636363636,0.36363636363636365,15.636363636363637,4.7272727272727275,0.0,1.1818181818181819,0.5454545454545454,0.2727272727272727,4.2654545454545465,5.6,5.699999999999999,6.19,16.0,6.6000000000000005
cin,QB,1.0,16,Joe Burrow,27.0,279.6875,2.1875,37.875,16.0625,0.3125,4.6875,0.75,0.375,21.16875,10.400000000000002,6.6,9.81,17.0,1.8
cle,QB,0.7090909090909091,22,Deshaun Watson,28.0,269.3181818181818,1.8181818181818181,32.45454545454545,28.136363636363637,0.18181818181818182,5.7272727272727275,0.5454545454545454,0.4090909090909091,20.040909090909096,7.6,8.399999999999999,8.335,4.0,5.6000000000000005
dal,QB,1.0,12,Dak Prescott,30.0,238.33333333333334,1.9166666666666667,32.833333333333336,15.166666666666666,0.08333333333333333,3.75,1.25,0.3333333333333333,16.05,8.0,8.299999999999999,8.135,11.0,1.8
dal,QB,1.0,9,Cooper Rush,30.0,116.77777777777777,0.5555555555555556,18.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.2222222222222222,5.848888888888888,8.0,8.299999999999999,8.135,11.0,1.8
den,QB,0.8,10,Jarrett Stidham,27.0,91.2,0.6,12.7,9.1,0.0,2.1,0.6,0.3,5.158,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
den,QB,1.0,15,Russell Wilson,35.0,234.93333333333334,1.0666666666666667,32.2,18.466666666666665,0.2,3.6666666666666665,0.7333333333333333,0.4,14.443999999999997,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
det,QB,1.0,17,Jared Goff,29.0,261.05882352941177,1.7058823529411764,34.529411764705884,4.294117647058823,0.0,1.7058823529411764,0.4117647058823529,0.4117647058823529,16.048235294117646,8.8,8.0,9.045000000000002,16.0,1.8
gnb,QB,0.8800000000000001,10,Jordan Love,25.0,60.6,0.3,8.3,2.6,0.0,1.3,0.3,0.3,2.684,8.6,10.499999999999998,4.285,13.0,0.8
