team,ol,rb,wr,qb,te
crd,4.999999999999999,5.199999999999999,5.430000000000001,8.0,2.8000000000000003
atl,7.200000000000001,7.699999999999999,6.335000000000001,6.0,3.6
rav,5.6000000000000005,3.6999999999999997,4.140000000000001,12.0,7.2
buf,9.0,4.4,9.855,20.0,4.2
car,6.199999999999999,8.2,5.095,8.0,3.6
chi,5.6,5.699999999999999,6.19,16.0,6.6000000000000005
cin,10.400000000000002,6.6,9.809999999999999,17.0,1.8
cle,7.6000000000000005,8.399999999999999,8.335,4.0,5.6000000000000005
dal,8.0,8.299999999999999,8.135,11.0,1.8
den,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
det,8.8,8.0,9.045000000000002,16.0,1.8
gnb,8.6,10.499999999999998,4.285,13.0,0.8
htx,6.0,8.1,4.76,7.0,5.000000000000001
clt,5.199999999999999,4.4,5.475,2.0,2.0
jax,6.3999999999999995,8.299999999999999,7.050000000000001,14.0,5.6000000000000005
kan,8.6,5.799999999999999,5.145000000000001,19.0,10.200000000000001
rai,7.000000000000001,11.1,8.47,10.0,3.4000000000000004
sdg,6.6,8.6,6.38,14.0,4.2
ram,4.0,4.799999999999999,5.234999999999999,7.0,5.000000000000001
mia,6.8,6.1,10.290000000000001,12.0,1.0
min,6.800000000000001,7.6,7.945,13.0,3.4000000000000004
nwe,6.3999999999999995,6.6,5.8999999999999995,8.0,3.8000000000000003
nor,5.8,8.0,4.95,12.0,4.0
nyg,4.999999999999999,8.6,5.1899999999999995,15.0,3.8000000000000003
nyj,3.4,3.4,6.86,4.0,3.6
phi,10.2,3.4,12.145,20.0,5.800000000000001
pit,7.4,5.3999999999999995,5.860000000000001,7.0,5.000000000000001
sfo,8.6,7.6,7.999999999999999,6.0,6.6000000000000005
sea,6.6000000000000005,6.199999999999999,7.1,15.0,3.8000000000000003
tam,6.0,3.4,5.860000000000001,3.0,2.6000000000000005
oti,3.5999999999999996,7.999999999999999,3.7150000000000003,8.0,3.2
was,5.8,5.1,6.569999999999999,10.0,1.8
