No.,Player,Age,Pos,G,GS,Att,RushYds,RushTD,RushLng,Y/A,RushY/G,A/G,Tgt,Rec,RecYds,Y/R,RecTD,RecLng,R/G,RecY/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,FantasyPPG,Year,YearsBack,Team
25.0,Tyler Allgeier,22.0,RB,16,7.0,210.0,1035.0,3,44.0,4.9,64.7,13.1,17.0,16.0,139.0,8.7,1,26.0,1.0,8.7,94.1%,8.2,226.0,5.2,1174.0,4,0.0,9.8375,2022,1,atl
84.0,Cordarrelle Patterson,31.0,RB,13,11.0,144.0,695.0,8,40.0,4.8,53.5,11.1,31.0,21.0,122.0,5.8,0,16.0,1.6,9.4,67.7%,3.9,165.0,5.0,817.0,8,1.0,11.438461538461537,2022,1,atl
1.0,Marcus Mariota,29.0,QB,13,13.0,85.0,438.0,4,30.0,5.2,33.7,6.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,85.0,5.2,438.0,4,8.0,3.9846153846153856,2022,1,atl
42.0,Caleb Huntley,24.0,RB,12,0.0,76.0,366.0,1,30.0,4.8,30.5,6.3,2.0,2.0,3.0,1.5,0,2.0,0.2,0.3,100.0%,1.5,78.0,4.7,369.0,1,1.0,3.5749999999999997,2022,1,atl
35.0,Avery Williams,24.0,RB,17,3.0,22.0,109.0,1,21.0,5.0,6.4,1.3,14.0,13.0,61.0,4.7,0,10.0,0.8,3.6,92.9%,4.4,35.0,4.9,170.0,1,1.0,2.0,2022,1,atl
4.0,Desmond Ridder,23.0,QB,4,4.0,16.0,64.0,0,18.0,4.0,16.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,16.0,4.0,64.0,0,3.0,0.10000000000000009,2022,1,atl
17.0,Olamide Zaccheaus,25.0,WR,17,13.0,2.0,7.0,0,13.0,3.5,0.4,0.1,61.0,40.0,533.0,13.3,3,45.0,2.4,31.4,65.6%,8.7,42.0,12.9,540.0,3,1.0,6.470588235294118,2022,1,atl
6.0,Damien Williams,30.0,RB,1,1.0,2.0,2.0,0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.0,1.0,2.0,0,0.0,0.2,2022,1,atl
40.0,Keith Smith,30.0,FB,17,6.0,1.0,2.0,0,2.0,2.0,0.1,0.1,2.0,1.0,8.0,8.0,0,8.0,0.1,0.5,50.0%,4.0,2.0,5.0,10.0,0,0.0,0.11764705882352941,2022,1,atl
15.0,Feleipe Franks,25.0,TE,11,1.0,1.0,0.0,0,0.0,0.0,0.0,0.1,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0%,0.0,1.0,0.0,0.0,0,0.0,0.0,2022,1,atl
5.0,Drake London,21.0,WR,17,15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,117.0,72.0,866.0,12.0,4,40.0,4.2,50.9,61.5%,7.4,72.0,12.0,866.0,4,3.0,10.38823529411765,2022,1,atl
