team,ol,rb,wr,qb,te
crd,8.6,7.699999999999999,7.430000000000001,16.0,2.0
atl,5.8,6.199999999999999,3.3800000000000003,0.0,7.0
rav,4.6000000000000005,4.7,3.095,11.0,8.2
buf,8.799999999999999,7.1,8.330000000000002,19.0,4.800000000000001
car,5.6,5.0,5.8999999999999995,10.0,1.0
chi,7.000000000000001,5.1,7.19,6.0,4.4
cin,6.3999999999999995,7.9,10.57,15.0,1.8
cle,7.3999999999999995,8.2,5.1899999999999995,2.0,3.6
dal,8.2,8.0,5.994999999999999,14.0,5.6000000000000005
den,6.4,7.699999999999999,4.855,12.0,2.4000000000000004
det,5.8,6.3999999999999995,5.285,10.0,4.2
gnb,6.0,9.0,4.095000000000001,15.0,2.0
htx,3.8000000000000003,2.3999999999999995,4.9,7.0,1.8
clt,6.0,13.399999999999999,5.800000000000001,10.0,2.6000000000000005
jax,4.6,4.1,6.614999999999999,7.0,2.8000000000000003
kan,9.399999999999999,4.4,4.855,18.0,9.0
rai,5.6,6.699999999999999,9.235000000000001,12.0,4.6
sdg,8.6,10.2,9.005,18.0,4.4
ram,6.6000000000000005,4.499999999999999,10.375,15.0,4.0
mia,6.2,6.3999999999999995,8.330000000000002,10.0,5.4
min,6.6,7.8,8.375,13.0,4.0
nwe,5.800000000000001,7.1,7.86,14.0,5.4
nor,5.3999999999999995,6.5,5.38,5.0,5.200000000000001
nyg,2.6,4.1,3.095,7.0,0.8
nyj,7.2,4.7,4.38,5.0,4.8
phi,8.600000000000001,6.3999999999999995,8.475,17.0,7.2
pit,5.999999999999999,7.3,5.765000000000001,0.0,3.4000000000000004
sfo,6.199999999999999,6.3999999999999995,8.235000000000001,12.0,6.6000000000000005
sea,4.199999999999999,4.7,8.05,2.0,5.200000000000001
tam,9.2,6.6,8.809999999999999,16.0,2.0
oti,5.6,5.799999999999999,4.1450000000000005,13.0,2.8000000000000003
was,5.3999999999999995,7.1,4.375,14.0,2.0
