team,ol,rb,wr,qb,te,year
crd,3.6000000000000005,5.999999999999999,7.375,16.0,2.6000000000000005,2021
atl,2.4,6.3999999999999995,7.095000000000001,13.0,4.0,2021
rav,4.6,4.499999999999999,5.8999999999999995,18.0,6.6000000000000005,2021
buf,3.0000000000000004,6.1,10.709999999999999,18.0,2.4000000000000004,2021
car,2.1999999999999997,2.3999999999999995,8.239999999999998,12.0,0.8,2021
chi,2.2,7.3,7.8999999999999995,5.0,3.6,2021
cin,2.0,2.6999999999999997,5.290000000000001,7.0,2.6000000000000005,2021
cle,2.8000000000000003,9.0,6.569999999999999,14.0,3.6,2021
dal,1.7999999999999998,6.1,8.43,6.0,4.0,2021
den,3.5999999999999996,4.199999999999999,5.38,13.0,4.2,2021
det,2.0,6.699999999999999,3.095,10.0,5.4,2021
gnb,6.6,10.399999999999999,10.184999999999999,18.0,5.800000000000001,2021
htx,0.6000000000000001,5.799999999999999,6.234999999999999,1.0,2.6000000000000005,2021
clt,2.6000000000000005,9.799999999999999,6.095,5.0,3.6,2021
jax,2.6,6.5,6.14,2.0,2.0,2021
kan,3.6,6.8,7.71,17.0,9.8,2021
rai,4.6,7.3999999999999995,5.095,14.0,9.0,2021
sdg,5.0,5.1,6.19,13.0,4.2,2021
ram,1.0,4.0,6.1450000000000005,13.0,3.2,2021
mia,2.4000000000000004,5.799999999999999,6.1450000000000005,5.0,5.200000000000001,2021
min,4.2,10.6,7.620000000000001,14.0,1.8,2021
nwe,1.9999999999999998,4.7,6.81,0.0,5.0,2021
nor,4.6000000000000005,10.7,2.76,7.0,1.8,2021
nyg,2.6000000000000005,3.0999999999999996,4.8100000000000005,9.0,4.6,2021
nyj,2.6,2.0,7.614999999999999,2.0,5.800000000000001,2021
phi,2.8000000000000003,5.1,3.095,7.0,3.8000000000000003,2021
pit,1.8,2.3999999999999995,7.715000000000001,10.0,4.0,2021
sfo,1.6,4.0,3.285,3.0,4.4,2021
sea,2.8000000000000003,7.1,8.860000000000001,17.0,2.8000000000000003,2021
tam,2.6000000000000005,7.1,7.5249999999999995,15.0,5.4,2021
oti,4.2,12.7,8.090000000000002,16.0,1.8,2021
was,1.5999999999999999,4.199999999999999,7.430000000000001,7.0,4.0,2021
crd,8.6,7.699999999999999,7.430000000000001,16.0,2.0,2022
atl,5.8,6.199999999999999,3.3800000000000003,0.0,7.0,2022
rav,4.6000000000000005,4.7,3.095,11.0,8.2,2022
buf,8.799999999999999,7.1,8.330000000000002,19.0,4.800000000000001,2022
car,5.6,5.0,5.8999999999999995,10.0,1.0,2022
chi,7.000000000000001,5.1,7.19,6.0,4.4,2022
cin,6.3999999999999995,7.9,10.57,15.0,1.8,2022
cle,7.3999999999999995,8.2,5.1899999999999995,2.0,3.6,2022
dal,8.2,8.0,5.994999999999999,14.0,5.6000000000000005,2022
den,6.4,7.699999999999999,4.855,12.0,2.4000000000000004,2022
det,5.8,6.3999999999999995,5.285,10.0,4.2,2022
gnb,6.0,9.0,4.095000000000001,15.0,2.0,2022
htx,3.8000000000000003,2.3999999999999995,4.9,7.0,1.8,2022
clt,6.0,13.399999999999999,5.800000000000001,10.0,2.6000000000000005,2022
jax,4.6,4.1,6.614999999999999,7.0,2.8000000000000003,2022
kan,9.399999999999999,4.4,4.855,18.0,9.0,2022
rai,5.6,6.699999999999999,9.235000000000001,12.0,4.6,2022
sdg,8.6,10.2,9.005,18.0,4.4,2022
ram,6.6000000000000005,4.499999999999999,10.375,15.0,4.0,2022
mia,6.2,6.3999999999999995,8.330000000000002,10.0,5.4,2022
min,6.6,7.8,8.375,13.0,4.0,2022
nwe,5.800000000000001,7.1,7.86,14.0,5.4,2022
nor,5.3999999999999995,6.5,5.38,5.0,5.200000000000001,2022
nyg,2.6,4.1,3.095,7.0,0.8,2022
nyj,7.2,4.7,4.38,5.0,4.8,2022
phi,8.600000000000001,6.3999999999999995,8.475,17.0,7.2,2022
pit,5.999999999999999,7.3,5.765000000000001,0.0,3.4000000000000004,2022
sfo,6.199999999999999,6.3999999999999995,8.235000000000001,12.0,6.6000000000000005,2022
sea,4.199999999999999,4.7,8.05,2.0,5.200000000000001,2022
tam,9.2,6.6,8.809999999999999,16.0,2.0,2022
oti,5.6,5.799999999999999,4.1450000000000005,13.0,2.8000000000000003,2022
was,5.3999999999999995,7.1,4.375,14.0,2.0,2022
